Gde_D_S_L,Boutique Residence Kuta managed by The Sun Boutique Hotel,6
Rofik_B,Boutique Residence Kuta managed by The Sun Boutique Hotel,9.7
nissa_a,Boutique Residence Kuta managed by The Sun Boutique Hotel,9.7
Annisa_D_R,Boutique Residence Kuta managed by The Sun Boutique Hotel,9.7
Gex_A,Boutique Residence Kuta managed by The Sun Boutique Hotel,9.7
DapoL_D,Boutique Residence Kuta managed by The Sun Boutique Hotel,9.7
Stella_M_D,Boutique Residence Kuta managed by The Sun Boutique Hotel,9.4
Fika,Harper Kuta by ASTON,10
Ike_M_P,Harper Kuta by ASTON,10
Sarah,Harper Kuta by ASTON,10
Sufi_M,Harper Kuta by ASTON,10
Raissa_W_P,Harper Kuta by ASTON,10
nunung_d,Harper Kuta by ASTON,10
Gabriela_S_M,Harper Kuta by ASTON,10
Ridha_Z,Harper Kuta by ASTON,10
SITI_S,Harper Kuta by ASTON,10
Yulia_S_O,Harper Kuta by ASTON,9.7
Jones_S_p,ASTON Denpasar Hotel & Convention Center,10
Ray_S_P,ASTON Denpasar Hotel & Convention Center,10
Hendri_W,ASTON Denpasar Hotel & Convention Center,10
Nur_i_d_p,ASTON Denpasar Hotel & Convention Center,10
Octorika_S,ASTON Denpasar Hotel & Convention Center,10
Octorika_S,ASTON Denpasar Hotel & Convention Center,10
Octorika_S,ASTON Denpasar Hotel & Convention Center,10
Eu,ASTON Denpasar Hotel & Convention Center,9.7
Putu_B_W,ASTON Denpasar Hotel & Convention Center,9.7
Putu_B_W,ASTON Denpasar Hotel & Convention Center,9.4
FIFI_S,Hilton Bali Resort,10
Rizki_K_F,Hilton Bali Resort,10
Lina_H,Hilton Bali Resort,10
Peter_S,Hilton Bali Resort,10
Alexander_M,Hilton Bali Resort,10
Bagus_H_W,Hilton Bali Resort,10
Fitria_N_M,Hilton Bali Resort,10
Juli,Hilton Bali Resort,10
Ita_A,Hilton Bali Resort,10
intan_f,Hilton Bali Resort,10
Risky_L,Kuta Beach Hotel,10
Sukma_A,Kuta Beach Hotel,10
saut_m,Kuta Beach Hotel,10
Andri_S_U,Kuta Beach Hotel,10
Isnawati_F,Kuta Beach Hotel,9.7
Surya_W,Kuta Beach Hotel,9.7
Dessy_F,Kuta Beach Hotel,9.7
Yofan_H,Kuta Beach Hotel,9.7
Muhamad_M_R,Kuta Beach Hotel,9.4
Adi_S,Kuta Beach Hotel,9.3
Alexander_M,Horison Seminyak,10
Elias_B_D,Horison Seminyak,10
Yuwono_N_W,Horison Seminyak,10
mahreta,Horison Seminyak,9.4
Yulia_A,Horison Seminyak,8.5
Dewi_S,Horison Seminyak,8.5
Septenda_R_R,Horison Seminyak,8.5
Viligius_B_S,Horison Seminyak,8.5
Setiyo_S,Horison Seminyak,8.5
Tri_L,Horison Seminyak,6.2
Iqbal_S,Quest Hotel Kuta by ASTON,10
Sarah_N,Quest Hotel Kuta by ASTON,10
Irawati_D_W,Quest Hotel Kuta by ASTON,9.7
Banyuaji_W,Quest Hotel Kuta by ASTON,9.7
Rinka_A_G,Quest Hotel Kuta by ASTON,9.7
novia_r,Quest Hotel Kuta by ASTON,9.4
Dedy_A,Quest Hotel Kuta by ASTON,9.1
I_Gusti_A_D_K,Quest Hotel Kuta by ASTON,8.8
Yeni_P,Quest Hotel Kuta by ASTON,8.5
Reza_M,Quest Hotel Kuta by ASTON,8.5
diyo_f,The Kanjeng Suites & Villas Sanur,9.7
Silfiah_B,The Kanjeng Suites & Villas Sanur,9.4
Nevry_E,The Kanjeng Suites & Villas Sanur,8.8
nike_s,The Kanjeng Suites & Villas Sanur,8.6
Aida_P_P,The Kanjeng Suites & Villas Sanur,8.5
Rosa_F,The Kanjeng Suites & Villas Sanur,6.1
Raras_N,The Kanjeng Suites & Villas Sanur,6
isabella,The Kanjeng Suites & Villas Sanur,6
Rendra_R_S,The Kanjeng Suites & Villas Sanur,6
freddy_m_s,The Kanjeng Suites & Villas Sanur,6
N_Djemikan,Brits Hotel Legian,10
Putra_V_D_B,Brits Hotel Legian,10
Sefi_W,Brits Hotel Legian,10
francisca_i,Brits Hotel Legian,10
Adam_G_H_P,Brits Hotel Legian,10
almer_p,Brits Hotel Legian,10
SAPTONO,Brits Hotel Legian,10
Shella_A,Brits Hotel Legian,10
Meyske_S,Brits Hotel Legian,9.7
francisca_i,Brits Hotel Legian,9.7
yahyabudu,Primera Hotel Seminyak,9.7
Firda_U,Primera Hotel Seminyak,9.7
Fadhlillah_G_F,Primera Hotel Seminyak,9.4
Kiki_D_K,Primera Hotel Seminyak,9.1
S?m_R,Primera Hotel Seminyak,8.7
Adini_C_K,Primera Hotel Seminyak,8.5
Utami_H,Primera Hotel Seminyak,6
Lina_R,Primera Hotel Seminyak,6
Duwi_H,Primera Hotel Seminyak,5.9
Bima_B_W,Primera Hotel Seminyak,5.2
Junior_S_W,Potato Head Suites & Studios,10
Yennie_D,Potato Head Suites & Studios,10
Daniel_S,Potato Head Suites & Studios,10
Astari_M,Potato Head Suites & Studios,10
Mohammad_E_I,Potato Head Suites & Studios,10
Dina_A_P,Potato Head Suites & Studios,10
Odelia,Potato Head Suites & Studios,10
Nilam_M_S_U,Potato Head Suites & Studios,10
Wisnu_C_W,Potato Head Suites & Studios,10
Liau_M_H_C,Potato Head Suites & Studios,8.5
Nydia_A,The Sun Boutique Hotel Kuta,10
Muhammad_Z_A,The Sun Boutique Hotel Kuta,10
Shelylivianti,The Sun Boutique Hotel Kuta,9.7
Dian_s,The Sun Boutique Hotel Kuta,9.7
Herwin,The Sun Boutique Hotel Kuta,9.7
Adin_Y,The Sun Boutique Hotel Kuta,9.7
Ketut_Y_K_D,The Sun Boutique Hotel Kuta,9.7
Margareth_K_B,The Sun Boutique Hotel Kuta,9.1
Indra_G_P,The Sun Boutique Hotel Kuta,8.7
Magdalena,The Sun Boutique Hotel Kuta,8.5
Yonece_Y_O,HARRIS Hotel and Conventions Denpasar Bali,10
Bhakti_P,HARRIS Hotel and Conventions Denpasar Bali,9.7
Manan,HARRIS Hotel and Conventions Denpasar Bali,9.7
Gatut_S_W,HARRIS Hotel and Conventions Denpasar Bali,9.4
R_Azizah,HARRIS Hotel and Conventions Denpasar Bali,8.5
Bagus_O,HARRIS Hotel and Conventions Denpasar Bali,8.5
Thomas_F,HARRIS Hotel and Conventions Denpasar Bali,6.3
abu_s,HARRIS Hotel and Conventions Denpasar Bali,10
Romauli,HARRIS Hotel and Conventions Denpasar Bali,9.4
Yohannes_L_T_H,HARRIS Hotel and Conventions Denpasar Bali,8.5
rizki_a,YELLO Kuta Beachwalk Bali,10
Rusnaini,YELLO Kuta Beachwalk Bali,10
DESRY_N_R,YELLO Kuta Beachwalk Bali,10
VERA,YELLO Kuta Beachwalk Bali,10
sonya_t,YELLO Kuta Beachwalk Bali,10
Slamet,YELLO Kuta Beachwalk Bali,10
Anisa_A,YELLO Kuta Beachwalk Bali,10
Yuliana_S,YELLO Kuta Beachwalk Bali,10
Surya_P,YELLO Kuta Beachwalk Bali,10
Hellen_Y,YELLO Kuta Beachwalk Bali,10
ishmadi_t_p,The Sun Hotel & Spa,10
vanny_p,The Sun Hotel & Spa,10
Arief_R_A,The Sun Hotel & Spa,10
Anisyah_R,The Sun Hotel & Spa,10
Lestari_N,The Sun Hotel & Spa,10
Wibowo_M,The Sun Hotel & Spa,10
Lusiana_P,The Sun Hotel & Spa,9.7
Netty_H,The Sun Hotel & Spa,9.7
Lisna_L,The Sun Hotel & Spa,9.7
STENLY_L_S,The Sun Hotel & Spa,9.7
Dwi_Y_S,Sun Royal Hotel,9.7
NILA_K_D_W_L,Sun Royal Hotel,9.7
Johannes_b,Sun Royal Hotel,6.2
Natasha_E_I,Sun Royal Hotel,8.5
Miswanti,Sun Royal Hotel,8.8
Gustom_R_M,Sun Royal Hotel,9.7
Dery_Z,Sun Royal Hotel,9.7
Liu_S,Sun Royal Hotel,8.5
Yayah_K,Sun Royal Hotel,8.5
Jonhni_P,Sun Royal Hotel,8.1
Moch_I_R,Daun Bali Seminyak Hotel,8.6
Johanna_J,Daun Bali Seminyak Hotel,8.3
Kunthi_M,Daun Bali Seminyak Hotel,10
Lilys_S,Daun Bali Seminyak Hotel,8.5
Ng_T_F,Daun Bali Seminyak Hotel,8.5
Rya_A,Daun Bali Seminyak Hotel,9
Nurul_I_R_P,Daun Bali Seminyak Hotel,9.4
Septi_S,Daun Bali Seminyak Hotel,9.7
Tytania_S,Daun Bali Seminyak Hotel,8.5
Livia_N,Daun Bali Seminyak Hotel,9.7
Yudha_I,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),10
Bellamarista_B,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),9.7
Muhammad_R_F_S,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),9.7
Galuh_P_D,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),9.7
Eka_N_R,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),9.4
Saepul_A,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),9.1
Ilham_A,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),8.8
Kristy_K,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),8.5
Sarah_V_B,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),8.5
Ferri_M,HARRIS Hotel & Residences Riverview Kuta - Bali (Associated HARRIS),6.3
Dewi_F,BEST WESTERN Kuta Villa,10
Achmad_S,BEST WESTERN Kuta Villa,10
Achmad_S,BEST WESTERN Kuta Villa,10
fernanda_s,BEST WESTERN Kuta Villa,10
Desi_H,BEST WESTERN Kuta Villa,9.7
Franky_K,BEST WESTERN Kuta Villa,9.7
Muhammad_I,BEST WESTERN Kuta Villa,9.7
Ika_S_W,BEST WESTERN Kuta Villa,9.7
Dewi_F,BEST WESTERN Kuta Villa,9.4
Gus_O,BEST WESTERN Kuta Villa,9.4
Devi_I_P,Hotel Neo Denpasar by ASTON,8.5
Yeni_P,Hotel Neo Denpasar by ASTON,8.5
Renaldo_g,Hotel Neo Denpasar by ASTON,5.2
Iskandar_I,Hotel Neo Denpasar by ASTON,8.7
Cherry_V_J,Hotel Neo Denpasar by ASTON,8.5
komang_p_a,Hotel Neo Denpasar by ASTON,10
Adrian_N_H_M,Hotel Neo Denpasar by ASTON,10
Dissa_M_B,Hotel Neo Denpasar by ASTON,9.4
Dhewiee,Hotel Neo Denpasar by ASTON,9.4
Firli_R,Hotel Neo Denpasar by ASTON,8.5
Hening_I_J,Kanvaz Village Resort Seminyak,10
Emi_S,Kanvaz Village Resort Seminyak,10
Merina_T,Kanvaz Village Resort Seminyak,9.1
Puty_M,Kanvaz Village Resort Seminyak,8.5
Fatmawati,Kanvaz Village Resort Seminyak,8.5
Nuraini_R,Kanvaz Village Resort Seminyak,8.5
uliyanti_h,Kanvaz Village Resort Seminyak,8.5
Etika_F_W,Kanvaz Village Resort Seminyak,10
SOLAR,Kanvaz Village Resort Seminyak,9.7
Alyssa_T,Kanvaz Village Resort Seminyak,9.4
Rustam_H,The ONE Legian,10
Juang_R_P,The ONE Legian,10
ogok_s,The ONE Legian,10
Angga_R_N,The ONE Legian,9.7
JOSEPHINA_K,The ONE Legian,9.7
yurida_n,The ONE Legian,9.7
Elisabeth_N,The ONE Legian,9.7
MUHAMMAD_R_S,The ONE Legian,9.7
Fitri_D_M,The ONE Legian,9.7
Evi_A_R,The ONE Legian,9.7
Eitin_R,Paragon Hotel Seminyak,10
Salsabila_K_2,Paragon Hotel Seminyak,9.7
Edy,Paragon Hotel Seminyak,9.1
Ivania,Paragon Hotel Seminyak,9.1
Asnur_I,Paragon Hotel Seminyak,8.5
Lukie_D,Paragon Hotel Seminyak,6.5
Yudha_A_C,Paragon Hotel Seminyak,6.4
rosly_r,Paragon Hotel Seminyak,5.5
rosly_r,Paragon Hotel Seminyak,5.1
krishna_b,Paragon Hotel Seminyak,9.4
Nuning_R_I,Duo Legian Hotel,9.7
Afdal,Duo Legian Hotel,9.7
narliez_s,Duo Legian Hotel,9.7
Adyastha_P_N_P,Duo Legian Hotel,9.7
intan_d_o,Duo Legian Hotel,9.7
Yudit_C,Duo Legian Hotel,9.7
OKTARIANA_P_C,Duo Legian Hotel,9.7
Yudha_P,Duo Legian Hotel,9.7
Astrid_C,Duo Legian Hotel,9.4
Casim,Duo Legian Hotel,9.4
I_P_J_A_P_B,b Hotel Bali & Spa,10
sri_y_c,b Hotel Bali & Spa,9.4
Aprilia_A_R,b Hotel Bali & Spa,9.3
Diky_F,b Hotel Bali & Spa,9.1
niluh_r,b Hotel Bali & Spa,9.1
sonny_s,b Hotel Bali & Spa,8.5
Wahyu_s,b Hotel Bali & Spa,8.5
Febrina_N,b Hotel Bali & Spa,10
Maryati,b Hotel Bali & Spa,9.7
Hamami,b Hotel Bali & Spa,8.5
Ariyadi_P,Mercure Kuta Bali,10
